unique_key,model_name,model_size,axis,dataset,condition,latency_seconds,tokens_per_second,max_memory_allocated_gb,input_tokens,output_tokens
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000707::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.5704040599994187,8.765716008411818,2.907773494720459,65,5
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000618::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,13.93157646599957,14.714774060229914,2.9074525833129883,81,205
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000711::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.5753815640000539,8.689885656467665,2.907773494720459,74,5
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000715::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.8310751460003303,10.829345629349891,2.907773494720459,83,9
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000719::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.6333353089994489,9.47365465771816,2.907773494720459,67,6
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000471::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,15.771866312999919,19.084615227298848,1.4189577102661133,81,301
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000506::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,26.42365609099943,14.532432555039202,6.270869731903076,70,384
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000723::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.6355844370000341,9.440130454295057,2.907773494720459,70,6
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000727::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.6515265319994796,9.209141462875671,2.907773494720459,97,6
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000731::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.5165106880003805,7.744273435048557,2.907773494720459,80,4
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000916::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,18.494537744999434,15.247745247174256,2.9074926376342773,113,282
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000735::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.5756238240001039,8.686228386542766,2.907773494720459,76,5
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000569::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,10.422708009000416,14.391653289190211,6.270820140838623,82,150
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000920::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.8217302729999574,7.301666005434257,2.9074926376342773,103,6
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000672::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,22.55778257700058,14.407444476894767,6.271068572998047,95,325
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000573::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,1.0046763090003878,9.95345457080559,6.270820140838623,56,10
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000592::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,12.89020303000052,18.696369594730136,1.4194316864013672,82,241
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000505::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,15.660822607000227,18.7091066256655,1.4191651344299316,119,293
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000390::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,13.200579702000141,18.787053720256182,1.4192538261413574,85,248
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000577::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,9.511863271000038,14.19280283512808,6.270820140838623,106,135
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000013::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_format,24.050061078,15.96669541730467,2.9081344604492188,73,384
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000017::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_format,1.0922520189997158,10.070935835919807,2.9081344604492188,73,11
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000559::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,26.355693294000048,14.569906991876353,6.271527290344238,85,384
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000596::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,13.478800009999759,18.621835757915107,1.4194316864013672,109,251
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000563::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,1.8071647530005066,9.960353625818506,6.271527290344238,65,18
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000475::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,20.153076710999812,19.054162573122532,1.4189577102661133,74,384
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000739::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,18.42531581499952,15.30502938627689,2.907773494720459,76,282
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000924::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,18.410019365999688,15.209109476392756,2.9074926376342773,117,280
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000928::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.7098145829995701,5.635274472801896,2.9074926376342773,93,4
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000509::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,12.333603147999384,18.81039929824825,1.4191651344299316,70,232
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000743::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,2.2028324619996056,12.710907653223522,2.907773494720459,85,28
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000394::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,12.45996437299982,18.780150006453262,1.4192538261413574,57,234
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000021::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_format,6.843718379000165,16.073133625359738,2.9081344604492188,61,110
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000747::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.6658670650003842,9.010807585139442,2.907773494720459,75,6
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000751::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.5223734989995137,7.657356293267327,2.907773494720459,124,4
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000755::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.46417036000002554,10.771907107553625,2.907773494720459,64,5
